Epoch,Phase,Iteration,Accuracy,Loss
1,Training,600,0.7356770833333334,0.024030272189341253
1,Val,600,0.9144642857142857,0.00948163035490602
1,Training,1200,0.4596875,0.004106335104078092
1,Val,1200,0.94125,0.006394118057202271
2,Training,1800,0.95234375,0.004818707514046865
2,Val,1800,0.9542857142857143,0.004760036878596015
2,Training,2400,0.573,0.0027756351815692876
2,Val,2400,0.9584821428571428,0.0043175442972366715
3,Training,3000,0.9696875,0.002958088645483477
3,Val,3000,0.9634821428571428,0.0038117940368468796
3,Training,3600,0.7279296875,0.002181783455726109
3,Val,3600,0.960625,0.0038295839834872796
3,Training,4200,0.4163839285714286,0.0012475700082543375
3,Val,4200,0.9692857142857143,0.0031316395384657237
4,Training,4800,0.980625,0.0019081202024512796
4,Val,4800,0.970625,0.002988621981106603
4,Training,5400,0.48856770833333335,0.0011307762145636704
4,Val,5400,0.9698214285714286,0.003113430338476403
5,Training,6000,0.985546875,0.0014284251757891787
5,Val,6000,0.97375,0.0027006517895717106
5,Training,6600,0.59096875,0.0009010257275601034
5,Val,6600,0.9749107142857143,0.0026659068614038844
6,Training,7200,0.99265625,0.000907244531616432
6,Val,7200,0.9758035714285714,0.0026628029027239326
6,Training,7800,0.7422265625,0.0007981557621271951
6,Val,7800,0.9725892857142857,0.002862361507288637
6,Training,8400,0.42332589285714284,0.0005259037777108847
6,Val,8400,0.9760714285714286,0.002635125630249316
7,Training,9000,0.9922395833333333,0.0007544334900294725
7,Val,9000,0.963125,0.004151031294650641
7,Training,9600,0.4953385416666667,0.00047686598283543195
7,Val,9600,0.9753571428571428,0.0026888544843137953
8,Training,10200,0.99546875,0.0005220455086282795
8,Val,10200,0.9770535714285714,0.0025958526548640003
8,Training,10800,0.5968125,0.0003354043943504739
8,Val,10800,0.9775,0.0025195427752891827
9,Training,11400,0.9978125,0.000319512104620337
9,Val,11400,0.9795535714285715,0.002352092897193035
9,Training,12000,0.7475390625,0.0003023626885903504
9,Val,12000,0.9769642857142857,0.002594321709967117
9,Training,12600,0.42671875,0.00018423721390953567
9,Val,12600,0.9766964285714286,0.0026391773143444644
10,Training,13200,0.9978125,0.0002657304348219729
10,Val,13200,0.978125,0.0025904448964646585
10,Training,13800,0.4990104166666667,0.00013394371550953197
10,Val,13800,0.9769642857142857,0.0027117189936193176
11,Training,14400,0.999609375,0.00013098235577409757
11,Val,14400,0.9791071428571428,0.002542038645932232
11,Training,15000,0.59940625,9.731278860543762e-05
11,Val,15000,0.9792857142857143,0.002522401075810256
12,Training,15600,0.99984375,7.5657599364393e-05
12,Val,15600,0.9798214285714286,0.0025244369726797823
12,Training,16200,0.749765625,6.70383372296618e-05
12,Val,16200,0.9792857142857143,0.002616209015349506
12,Training,16800,0.42848214285714287,3.442039850382651e-05
12,Val,16800,0.9796428571428571,0.002641577389051575
13,Training,17400,0.9998958333333333,5.440221266184232e-05
13,Val,17400,0.9801785714285715,0.0025760988736727537
13,Training,18000,0.4998958333333333,3.1834140414679464e-05
13,Val,18000,0.9794642857142857,0.0026397405711599525
14,Training,18600,0.999921875,4.250017613933649e-05
14,Val,18600,0.9798214285714286,0.0026287021884933144
14,Training,19200,0.59996875,2.2957781214248196e-05
14,Val,19200,0.9790178571428572,0.002646063911555887
15,Training,19800,1.0,2.778751292071511e-05
15,Val,19800,0.9794642857142857,0.0027022435833269254
15,Training,20400,0.75,2.282940547300602e-05
15,Val,20400,0.9795535714285715,0.002688951660471478
15,Training,21000,0.42857142857142855,1.3722311481024196e-05
15,Val,21000,0.9790178571428572,0.0027311029846193583
16,Training,21600,1.0,2.5966206970998908e-05
16,Val,21600,0.979375,0.002725624455567729
16,Training,22200,0.5,1.2993178746244655e-05
16,Val,22200,0.9796428571428571,0.0027546175019910863
17,Training,22800,1.0,2.167474850599297e-05
17,Val,22800,0.979375,0.0027372417076655434
17,Training,23400,0.6,1.3185354664240015e-05
17,Val,23400,0.9797321428571428,0.002747839795323823
18,Training,24000,1.0,2.1181621375761293e-05
18,Val,24000,0.9798214285714286,0.0027568785301280685
18,Training,24600,0.75,1.4178615208649422e-05
18,Val,24600,0.9791964285714285,0.0027826512837169524
18,Training,25200,0.42857142857142855,8.924811258223564e-06
18,Val,25200,0.9799107142857143,0.0027856213408426612
19,Training,25800,1.0,1.8528559956997958e-05
19,Val,25800,0.9794642857142857,0.002813476486695062
19,Training,26400,0.5,9.040233985525523e-06
19,Val,26400,0.9795535714285715,0.0028074883333249452
20,Training,27000,1.0,1.5206146268084365e-05
20,Val,27000,0.9798214285714286,0.0028269723572137743
20,Training,27600,0.6,1.062443084774483e-05
20,Val,27600,0.9796428571428571,0.002830573694184812
