Epoch,Phase,Iteration,Accuracy,Loss
436,Val,872,1.0,0.06279505883916014
440,Training,880,1.0,0.0663413090708729
440,Val,880,1.0,0.06246303552301861
444,Training,888,1.0,0.05999494144052654
444,Val,888,1.0,0.05876390620284344
448,Training,896,1.0,0.061712044698341975
448,Val,896,1.0,0.058260140275239264
452,Training,904,1.0,0.058741037692825446
452,Val,904,1.0,0.0559244579406178
456,Training,912,1.0,0.05579296874022995
456,Val,912,1.0,0.0535656354892565
460,Training,920,1.0,0.05814300052344731
460,Val,920,1.0,0.05060589556291545
464,Training,928,1.0,0.05241939971394423
464,Val,928,1.0,0.05021323732768263
468,Training,936,1.0,0.05028236568856732
468,Val,936,1.0,0.048542629786563915
472,Training,944,1.0,0.04950873318219494
472,Val,944,1.0,0.04736904039354041
476,Training,952,1.0,0.05126455493336976
476,Val,952,1.0,0.044945456663082826
480,Training,960,1.0,0.04999985985483901
480,Val,960,1.0,0.04373534994243884
484,Training,968,1.0,0.045220069312737456
484,Val,968,1.0,0.04347733943153784
488,Training,976,1.0,0.04452949868997
488,Val,976,1.0,0.042544728722141004
492,Training,984,1.0,0.04285051920348214
492,Val,984,1.0,0.04122872970955484
496,Training,992,1.0,0.041085608237112735
496,Val,992,1.0,0.04044365540941282
500,Training,1000,1.0,0.039947692496829085
500,Val,1000,1.0,0.0393070660510569
504,Training,1008,1.0,0.03841434130192938
504,Val,1008,1.0,0.03799671754718395
508,Training,1016,1.0,0.03834911948749159
508,Val,1016,1.0,0.03766343113337916
512,Training,1024,1.0,0.03779817044161775
512,Val,1024,1.0,0.036458663363790667
516,Training,1032,1.0,0.036101465873037905
516,Val,1032,1.0,0.03566729563123164
520,Training,1040,1.0,0.03589731510200499
520,Val,1040,1.0,0.03525150318261625
524,Training,1048,1.0,0.035709087008795985
524,Val,1048,1.0,0.034511937064539394
528,Training,1056,1.0,0.036500723530347015
528,Val,1056,1.0,0.032658904123307464
532,Training,1064,1.0,0.033122219740792866
532,Val,1064,1.0,0.032277775218715686
536,Training,1072,1.0,0.032560746443557886
536,Val,1072,1.0,0.032112952282996855
540,Training,1080,1.0,0.03197536828826379
540,Val,1080,1.0,0.03155349310918979
544,Training,1088,1.0,0.03129714080811789
544,Val,1088,1.0,0.030574106416612998
548,Training,1096,1.0,0.030119679103496326
548,Val,1096,1.0,0.02986889505934856
552,Training,1104,1.0,0.03074622491399478
552,Val,1104,1.0,0.029836581217948202
556,Training,1112,1.0,0.0302345485288915
556,Val,1112,1.0,0.02932361844427449
560,Training,1120,1.0,0.029641354797948768
560,Val,1120,1.0,0.028766817490500307
564,Training,1128,1.0,0.028935911264914963
564,Val,1128,1.0,0.028147690002375818
568,Training,1136,1.0,0.027591809599478143
568,Val,1136,1.0,0.027317537252116844
572,Training,1144,1.0,0.027448713770178768
572,Val,1144,1.0,0.027120383501341685
576,Training,1152,1.0,0.027256105542615202
576,Val,1152,1.0,0.026450158653115247
580,Training,1160,1.0,0.0264062192680729
580,Val,1160,1.0,0.02612608268595122
584,Training,1168,1.0,0.026400156544971208
584,Val,1168,1.0,0.02560973227310391
588,Training,1176,1.0,0.026175978023574256
588,Val,1176,1.0,0.025313455150937445
592,Training,1184,1.0,0.025409294162465075
592,Val,1184,1.0,0.02504873240546026
596,Training,1192,1.0,0.025413414546512903
596,Val,1192,1.0,0.02455220734227372
600,Training,1200,1.0,0.024895516718714733
600,Val,1200,1.0,0.024248288819511736
604,Training,1208,1.0,0.02557590194528829
604,Val,1208,1.0,0.023216357326498037
608,Training,1216,1.0,0.023295218869531856
608,Val,1216,1.0,0.022843095959038655
612,Training,1224,1.0,0.02325877983409662
612,Val,1224,1.0,0.022702945832779414
616,Training,1232,1.0,0.02284438246556784
616,Val,1232,1.0,0.022324072954566846
620,Training,1240,1.0,0.02204633322271457
620,Val,1240,1.0,0.021925864967383947
624,Training,1248,1.0,0.022181627101646034
624,Val,1248,1.0,0.021785031742716166
628,Training,1256,1.0,0.02187689237384587
628,Val,1256,1.0,0.02165133272567258
632,Training,1264,1.0,0.02147689685950622
632,Val,1264,1.0,0.02111772092216241
636,Training,1272,1.0,0.021588724364690913
636,Val,1272,1.0,0.02099870804818431
640,Training,1280,1.0,0.021162441529228863
640,Val,1280,1.0,0.02062937619830811
644,Training,1288,1.0,0.021700750871276698
644,Val,1288,1.0,0.019969078035002454
648,Training,1296,1.0,0.021497631353389626
648,Val,1296,1.0,0.019745872052004565
652,Training,1304,1.0,0.019979136122579094
652,Val,1304,1.0,0.01981683672897143
656,Training,1312,1.0,0.02127390363142332
656,Val,1312,1.0,0.019390555998679754
660,Training,1320,1.0,0.01918192597859289
660,Val,1320,1.0,0.019090047036989004
664,Training,1328,1.0,0.019254991274630914
664,Val,1328,1.0,0.01886655007634344
668,Training,1336,1.0,0.01931744654432007
668,Val,1336,1.0,0.018939956533522255
672,Training,1344,1.0,0.01891035028925677
672,Val,1344,1.0,0.01858794751049805
676,Training,1352,1.0,0.018631449232015665
676,Val,1352,1.0,0.018466866144842418
680,Training,1360,1.0,0.018522680166555706
680,Val,1360,1.0,0.018098068561386543
684,Training,1368,1.0,0.018070263971541246
684,Val,1368,1.0,0.01793674912490294
688,Training,1376,1.0,0.01799750459669347
688,Val,1376,1.0,0.017834082451693857
692,Training,1384,1.0,0.018036749955766197
692,Val,1384,1.0,0.017575755033654494
696,Training,1392,1.0,0.017413284813608106
696,Val,1392,1.0,0.017284316031045018
700,Training,1400,1.0,0.017547264075526196
700,Val,1400,1.0,0.017127099982284972
704,Training,1408,1.0,0.017129120893185447
704,Val,1408,1.0,0.01698079850106805
708,Training,1416,1.0,0.016952929776281024
708,Val,1416,1.0,0.016803575078061656
712,Training,1424,1.0,0.016632620986871467
712,Val,1424,1.0,0.016408816804384448
716,Training,1432,1.0,0.016632465411935787
716,Val,1432,1.0,0.01628281335582019
720,Training,1440,1.0,0.016344232943711512
720,Val,1440,1.0,0.01621352736072118
724,Training,1448,1.0,0.01728558127960572
724,Val,1448,1.0,0.015894992120398917
728,Training,1456,1.0,0.015796956265799942
728,Val,1456,1.0,0.015715808866418844
732,Training,1464,1.0,0.015776515766274868
732,Val,1464,1.0,0.015564984033353102
736,Training,1472,1.0,0.015675116166198436
736,Val,1472,1.0,0.015549044159353653
740,Training,1480,1.0,0.015633728020714967
740,Val,1480,1.0,0.015303564095269093
744,Training,1488,1.0,0.015103886925786405
744,Val,1488,1.0,0.015029743618347219
748,Training,1496,1.0,0.015157486685221785
748,Val,1496,1.0,0.01488091917118419
752,Training,1504,1.0,0.01485434093395688
752,Val,1504,1.0,0.01477872279977564
756,Training,1512,1.0,0.015768919271913193
756,Val,1512,1.0,0.014596259295444863
760,Training,1520,1.0,0.014558167833095154
760,Val,1520,1.0,0.014397913013630009
764,Training,1528,1.0,0.014471561595579597
